subject	../../../mgi_import_qc/11_11_2021/go_cam_mgi_file1.gpad	../../../mgi_import_qc/11_11_2021/noctua_merged_file2.gpad
MGI:1330239	11	9
MGI:1330279	3	0
MGI:1330280	2	0
MGI:1330293	3	0
MGI:1330295	3	0
MGI:1330348	1	0
MGI:1330351	1	0
MGI:1332671	1	0
MGI:1333774	2	1
MGI:1333820	4	2
MGI:1333822	8	7
MGI:1333830	2	1
MGI:1333878	11	10
MGI:1335089	3	2
MGI:1336192	2	1
MGI:1336197	3	1
MGI:1336207	3	0
MGI:1336211	10	1
MGI:1336891	4	3
MGI:1336892	5	4
MGI:1337114	2	0
MGI:1338020	3	0
MGI:1338056	40	39
MGI:1338802	3	2
MGI:1338888	8	5
MGI:1338915	2	1
MGI:1338944	13	12
MGI:1339365	7	6
MGI:1339468	4	3
MGI:1339639	12	11
MGI:1341149	10	9
MGI:1341295	4	3
MGI:1341787	38	37
MGI:1341836	7	6
MGI:1342286	6	5
MGI:1342290	18	17
MGI:1343050	1	0
MGI:1343092	1	0
MGI:1343118	3	0
MGI:1343161	3	2
MGI:1344334	3	0
MGI:1344382	3	2
MGI:1344388	1	0
MGI:1344419	3	0
MGI:1345275	60	59
MGI:1345615	3	0
MGI:1345617	3	0
MGI:1345618	3	0
MGI:1346013	9	8
MGI:1346325	7	6
MGI:1346330	4	3
MGI:1346527	4	3
MGI:1346861	45	44
MGI:1346872	19	18
MGI:1347355	45	44
MGI:1349766	8	6
MGI:1350975	1	0
MGI:1350981	1	0
MGI:1351321	3	0
MGI:1351332	12	7
MGI:1351467	3	0
MGI:1351617	4	3
MGI:1351646	4	3
MGI:1351657	2	1
MGI:1351664	3	2
MGI:1351668	3	2
MGI:1352466	3	2
MGI:1352499	1	0
MGI:1353471	5	4
MGI:1353631	2	1
MGI:1353646	3	0
MGI:1353666	3	0
MGI:1354703	3	0
MGI:1354706	3	0
MGI:1354710	10	9
MGI:1354732	3	0
MGI:1355321	11	10
MGI:1855689	2	1
MGI:1855695	2	0
MGI:1858313	3	2
MGI:1858417	6	5
MGI:1858435	2	0
MGI:1858439	3	0
MGI:1858441	3	0
MGI:1858443	3	0
MGI:1858445	3	0
MGI:1858496	3	0
MGI:1858961	3	2
MGI:1859170	4	3
MGI:1859333	11	10
MGI:1859607	2	0
MGI:1859618	3	0
MGI:1859619	1	0
MGI:1859635	1	0
MGI:1859644	3	0
MGI:1859866	7	6
MGI:1860203	1	0
MGI:1860374	16	15
MGI:1860513	2	1
MGI:1861431	24	0
MGI:1861453	6	5
MGI:1861712	2	0
MGI:1861728	4	3
MGI:1861733	3	0
MGI:1861942	4	3
MGI:1889001	1	0
MGI:1889208	4	3
MGI:1889209	1	0
MGI:1889333	3	0
MGI:1889334	1	0
MGI:1889377	3	0
MGI:1889411	6	0
MGI:1889506	4	2
MGI:1889832	3	0
MGI:1889842	3	0
MGI:1890393	5	4
MGI:1890472	5	4
MGI:1890505	5	4
MGI:1890544	3	0
MGI:1890547	3	0
MGI:1890655	3	0
MGI:1890657	2	0
MGI:1890682	1	0
MGI:1890697	3	0
MGI:1891058	3	0
MGI:1891074	3	0
MGI:1891214	2	0
MGI:1891321	4	2
MGI:1891352	2	0
MGI:1891353	2	0
MGI:1891357	2	0
MGI:1891358	2	0
MGI:1891359	2	0
MGI:1891360	2	0
MGI:1891361	2	0
MGI:1891393	3	0
MGI:1891413	2	0
MGI:1891414	2	1
MGI:1891420	1	0
MGI:1891432	3	0
MGI:1891442	1	0
MGI:1891689	5	4
MGI:1891883	2	0
MGI:1891924	3	0
MGI:1913079	1	0
MGI:1913122	3	1
MGI:1913301	3	0
MGI:1913310	1	0
MGI:1913317	2	1
MGI:1913319	1	0
MGI:1913324	1	0
MGI:1913340	2	0
MGI:1913341	3	2
MGI:1913361	1	0
MGI:1913367	4	3
MGI:1913369	2	1
MGI:1913374	1	0
MGI:1913377	3	0
MGI:1913379	1	0
MGI:1913397	1	0
MGI:1913401	2	0
MGI:1913408	2	0
MGI:1913417	2	0
MGI:1913422	2	1
MGI:1913423	3	0
MGI:1913425	10	9
MGI:1913429	1	0
MGI:1913434	3	0
MGI:1913441	1	0
MGI:1913442	1	0
MGI:1913443	10	9
MGI:1913452	3	0
MGI:1913453	3	0
MGI:1913454	1	0
MGI:1913456	3	0
MGI:1913459	1	0
MGI:1913466	2	0
MGI:1913473	3	1
MGI:1913486	3	0
MGI:1913489	2	0
MGI:1913493	7	5
MGI:1913505	1	0
MGI:1913510	3	0
MGI:1913511	1	0
MGI:1913513	1	0
MGI:1913514	1	0
MGI:1913516	5	4
MGI:1913519	1	0
MGI:1913520	4	3
MGI:1913522	2	1
MGI:1913524	3	0
MGI:1913526	3	0
MGI:1913528	1	0
MGI:1913529	3	0
MGI:1913530	3	0
MGI:1913532	2	0
MGI:1913534	3	2
MGI:1913540	7	6
MGI:1913541	3	0
MGI:1913543	3	0
MGI:1913544	1	0
MGI:1913546	2	1
MGI:1913549	3	0
MGI:1913550	2	0
MGI:1913552	2	1
MGI:1913556	1	0
MGI:1913557	2	0
MGI:1913558	1	0
MGI:1913561	1	0
MGI:1913564	1	0
MGI:1913570	1	0
MGI:1913571	3	0
MGI:1913572	3	0
MGI:1913573	3	0
MGI:1913575	3	0
MGI:1913576	2	0
MGI:1913578	1	0
MGI:1913579	2	0
MGI:1913580	3	0
MGI:1913582	3	0
MGI:1913586	2	0
MGI:1913587	3	0
MGI:1913588	3	0
MGI:1913593	2	0
MGI:1913597	3	0
MGI:1913603	2	0
MGI:1913607	2	0
MGI:1913608	2	0
MGI:1913609	2	1
MGI:1913614	3	0
MGI:1913615	3	1
MGI:1913616	1	0
MGI:1913617	2	0
MGI:1913624	3	0
MGI:1913625	1	0
MGI:1913630	3	0
MGI:1913641	3	0
MGI:1913646	2	0
MGI:1913671	1	0
MGI:1913686	3	0
MGI:1913689	2	0
MGI:1913692	1	0
MGI:1913701	1	0
MGI:1913705	3	2
MGI:1913706	3	0
MGI:1913707	3	0
MGI:1913710	1	0
MGI:1913712	3	0
MGI:1913715	3	0
MGI:1913729	3	0
MGI:1913746	2	0
MGI:1913747	1	0
MGI:1913748	1	0
MGI:1913751	3	0
MGI:1913753	3	0
MGI:1913770	3	0
MGI:1913771	1	0
MGI:1913773	1	0
MGI:1913776	1	0
MGI:1913778	2	0
MGI:1913781	2	0
MGI:1913782	1	0
MGI:1913783	3	0
MGI:1913797	3	0
MGI:1913800	3	0
MGI:1913806	5	4
MGI:1913807	1	0
MGI:1913811	3	0
MGI:1913816	1	0
MGI:1913817	3	0
MGI:1913820	2	0
MGI:1913824	3	0
MGI:1913829	3	0
MGI:1913834	3	0
MGI:1913845	3	0
MGI:1913848	1	0
MGI:1913849	2	0
MGI:1913851	1	0
MGI:1913852	3	0
MGI:1913853	3	2
MGI:1913856	2	0
MGI:1913857	2	0
MGI:1913860	4	3
MGI:1913861	3	0
MGI:1913864	2	1
MGI:1913868	2	0
MGI:1913872	1	0
MGI:1913875	1	0
MGI:1913877	2	0
MGI:1913887	3	0
MGI:1913888	3	0
MGI:1913890	3	0
MGI:1913891	1	0
MGI:1913912	3	0
MGI:1913914	3	0
MGI:1913917	1	0
MGI:1913920	3	0
MGI:1913924	3	0
MGI:1913926	1	0
MGI:1913930	2	0
MGI:1913939	3	0
MGI:1913940	3	1
MGI:1913951	3	1
MGI:1913953	3	0
MGI:1913956	2	1
MGI:1913957	1	0
MGI:1913958	3	0
MGI:1913959	3	0
MGI:1913964	3	0
MGI:1913966	3	0
MGI:1913967	1	0
MGI:1913969	3	0
MGI:1913979	2	0
MGI:1913980	3	0
MGI:1913982	3	0
MGI:1913987	3	0
MGI:1913990	1	0
MGI:1913993	10	2
MGI:1913994	2	1
MGI:1913995	2	0
MGI:1913998	3	0
MGI:1913999	3	0
MGI:1914002	3	0
MGI:1914005	2	1
MGI:1914006	3	0
MGI:1914008	3	0
MGI:1914009	3	0
MGI:1914010	3	0
MGI:1914011	3	0
MGI:1914013	3	0
MGI:1914014	3	0
MGI:1914015	3	0
MGI:1914016	3	0
MGI:1914018	3	0
MGI:1914019	3	0
MGI:1914020	3	0
MGI:1914022	3	0
MGI:1914029	3	0
MGI:1914030	3	0
MGI:1914031	3	0
MGI:1914033	3	0
MGI:1914034	3	0
MGI:1914035	3	0
MGI:1914038	3	0
MGI:1914043	11	10
MGI:1914054	3	0
MGI:1914058	3	0
MGI:1914066	2	0
MGI:1914068	3	0
MGI:1914077	2	0
MGI:1914079	3	0
MGI:1914082	2	0
MGI:1914083	3	0
MGI:1914085	3	0
MGI:1914086	2	1
MGI:1914088	3	0
MGI:1914094	2	1
MGI:1914110	7	6
MGI:1914116	2	0
MGI:1914125	1	0
MGI:1914143	1	0
MGI:1914145	3	0
MGI:1914165	1	0
MGI:1914171	1	0
MGI:1914178	1	0
MGI:1914181	3	0
MGI:1914184	1	0
MGI:1914188	1	0
MGI:1914189	2	0
MGI:1914193	1	0
MGI:1914202	2	0
MGI:1914225	1	0
MGI:1914226	3	0
MGI:1914235	2	0
MGI:1914240	2	0
MGI:1914243	10	9
MGI:1914244	1	0
MGI:1914247	2	1
MGI:1914258	2	0
MGI:1914262	1	0
