object	../../../mgi_import_qc/11_11_2021/go_cam_mgi_file1.gpad	../../../mgi_import_qc/11_11_2021/noctua_merged_file2.gpad
GO:0042277	5	4
GO:0042414	3	2
GO:0042470	19	13
GO:0042595	2	1
GO:0042605	19	18
GO:0042637	6	0
GO:0042640	12	0
GO:0042696	1	0
GO:0042697	1	0
GO:0042802	313	311
GO:0042995	30	29
GO:0043011	14	12
GO:0043015	5	4
GO:0043045	10	6
GO:0043065	127	122
GO:0043122	10	7
GO:0043130	6	5
GO:0043297	4	3
GO:0043370	2	0
GO:0043406	13	11
GO:0043409	27	26
GO:0043433	14	11
GO:0043434	16	14
GO:0043552	7	6
GO:0043954	3	2
GO:0044242	3	2
GO:0044255	15	13
GO:0044295	6	5
GO:0044297	45	32
GO:0044381	3	2
GO:0044838	6	0
GO:0045087	17	16
GO:0045120	14	13
GO:0045595	17	16
GO:0045596	42	18
GO:0045597	29	20
GO:0045605	1	0
GO:0045619	3	2
GO:0045621	4	3
GO:0045666	55	51
GO:0045686	3	2
GO:0045687	3	1
GO:0045721	7	6
GO:0045727	13	12
GO:0045746	23	22
GO:0045759	1	0
GO:0045760	2	1
GO:0045778	19	17
GO:0045785	19	18
GO:0045815	3	1
GO:0045955	4	3
GO:0045967	1	0
GO:0046425	6	5
GO:0046641	21	11
GO:0046642	4	3
GO:0046660	18	17
GO:0046676	16	15
GO:0047444	1	0
GO:0048008	29	27
GO:0048011	6	5
GO:0048167	31	29
GO:0048469	45	42
GO:0048505	7	6
GO:0048661	3	2
GO:0048705	63	62
GO:0048715	11	9
GO:0048755	5	4
GO:0048806	1	0
GO:0048872	39	36
GO:0050730	18	14
GO:0050778	14	12
GO:0050805	4	2
GO:0050850	19	18
GO:0050851	2	1
GO:0050868	13	12
GO:0050892	8	7
GO:0051010	13	6
GO:0051011	4	3
GO:0051055	4	3
GO:0051091	23	22
GO:0051135	4	3
GO:0051153	3	0
GO:0051154	4	3
GO:0051289	1	0
GO:0051319	1	0
GO:0051347	5	0
GO:0051348	3	0
GO:0051424	1	0
GO:0051497	13	12
GO:0051642	12	11
GO:0051781	4	3
GO:0051932	16	11
GO:0055001	28	26
GO:0060005	12	11
GO:0060086	2	0
GO:0060206	1	0
GO:0060325	33	32
GO:0060334	2	1
GO:0060338	2	1
GO:0060391	5	3
GO:0061371	7	6
GO:0061411	2	0
GO:0061459	5	1
GO:0061649	1	0
GO:0061659	1	0
GO:0061725	3	1
GO:0061740	2	1
GO:0070076	2	1
GO:0070160	4	2
GO:0070169	5	4
GO:0070301	10	9
GO:0070314	4	3
GO:0070417	6	5
GO:0070524	2	0
GO:0070603	29	0
GO:0070613	10	9
GO:0070734	5	3
GO:0071168	3	2
GO:0071174	3	0
GO:0071216	4	0
GO:0071229	7	0
GO:0071374	3	2
GO:0071466	30	4
GO:0071514	11	10
GO:0071539	14	13
GO:0071549	14	13
GO:0071564	7	6
GO:0071565	10	9
GO:0071600	3	2
GO:0071608	1	0
GO:0071609	1	0
GO:0071617	3	2
GO:0071873	1	0
GO:0071878	2	1
GO:0072001	1	0
GO:0072488	2	0
GO:0072553	2	1
GO:0072578	8	1
GO:0075713	1	0
GO:0080135	1	0
GO:0080188	2	0
GO:0090134	1	0
GO:0090222	1	0
GO:0090231	1	0
GO:0090233	1	0
GO:0090312	4	2
GO:0090575	10	8
GO:0097107	1	0
GO:0097116	5	0
GO:0097226	4	1
GO:0097421	6	5
GO:0097431	11	10
GO:0097539	15	12
GO:0097601	1	0
GO:0097722	4	0
GO:0097728	5	4
GO:0098768	1	0
GO:0101005	9	8
GO:0106070	2	0
GO:0106071	1	0
GO:0106072	1	0
GO:0106106	3	0
GO:0120134	2	1
GO:0120135	1	0
GO:0120197	12	6
GO:0120229	2	0
GO:0140135	7	0
GO:0140142	1	0
GO:0140462	1	0
GO:0140658	4	0
GO:0140659	1	0
GO:0140672	16	0
GO:0140682	5	0
GO:1900159	1	0
GO:1901661	1	0
GO:1901978	1	0
GO:1902465	1	0
GO:1902466	2	1
GO:1902531	1	0
GO:1902682	1	0
GO:1903033	3	2
GO:1903826	6	0
GO:1904772	2	1
GO:1904780	1	0
GO:1904894	3	1
GO:1904950	1	0
GO:1904951	1	0
GO:1905198	5	4
GO:1990044	1	0
GO:1990147	3	2
GO:1990830	310	308
GO:1990837	5	2
GO:2000036	10	7
GO:2000120	4	3
GO:2000134	20	19
GO:2000677	4	0
GO:2001256	6	5
GO:2001268	5	2
